id,titel,beschrijving,object,datum,periode,cs1,cs2,cs3,cs4,as1,as2,as3,as4
2003-036-018,"Portret van koppel","De foto werd vermoedelijk genomen naar aanleiding van de gouden bruiloft van het koppel. Ze zitten voor de woning, met bloemen voor hen.",foto,null,null,"bloem (plant)",,,,"huwelijk","jubileum",null,null
2012-029,"Huwelijk Antoon en Marie José, Gent, 1938",null,foto,1938,jaren 1930,"bruidspaar","bruidsboeket","sleep","studioportret","huwelijk","Gent",null,null
2012-030-001,"Bruidspaar met familie, jaren 1940",null,foto,null,jaren 1940,"bruidspaar","groepsportret","bloem (plant)",null,"huwelijk",,,
2012-030-002,"Huwelijk Juliette en Werner, Gent, 1962",null,foto,1962-10-20,jaren 1960,"bruidspaar","bruidsboeket",null,null,"huwelijk","Gent",null,null
2012-030-003,"Familie in huwelijksmis Juliette en Werner, Gent, 1962","De huwelijksviering vond plaats in de Sint-Martinuskerk op Ekkergem, Gent.",foto,1962-10-20,jaren 1960,null,null,null,null,"huwelijk","kerk","Gent",null
2012-030-007,"Bruidspaar Juliette en Werner in auto, Gent, 1962",null,foto,1962-10-20,jaren 1960,"bruidspaar","auto",null,null,"huwelijk","vervoer","Gent",null
2012-030-008,"Huwelijk Juliette en Werner, Gent, 1962","Feestvierders komen aan in feestzaal de Raadskelder in Gent.",foto,1962-10-20,jaren 1960,null,null,null,null,"huwelijk","feest","Gent",null
DIA-80-00358,"Bruidspaar Ans en Mark openen dansfeest, 1981",null,foto,1981,jaren 1980,"bruidspaar",,,,"huwelijk","dans","feest",null
FO-00-00034,"Bruidspaar Basiel en Agusta met familie, Sint-Niklaas, 1903",null,foto,1903,jaren 1900,"bruidspaar","groepsportret",null,null,"huwelijk","Sint-Niklaas",null,null
FO-10-00074,"Huwelijksportret, 1918",null,foto,1918,jaren 1910,"bruidspaar","studioportret",null,null,"huwelijk",,,
FO-10-00077,"Huwelijk Gustaaf en Julie, Zomergem, 1916",null,foto,1916-10-29,jaren 1910,"bruidspaar","studioportret",null,null,"huwelijk","Zomergem",null,null
FO-10-00089,"Huwelijk Bernard en Elvira, Gent, 1910",null,foto,1910-05-11,jaren 1910,"bruidspaar","studioportret","hoed",null,"huwelijk","Gent",null,null
FO-10-00098,"Huwelijk Louis en Henriette, 1919",null,foto,1919,jaren 1910,"bruidspaar","studioportret","bruidsboeket",null,"huwelijk",,,
FO-20-00083,"Huwelijk René en Maria, 1924",null,foto,1924-04-19,jaren 1920,"studioportret","bruidspaar","bruidsboeket",null,"huwelijk",,,
FO-20-00173,"Huwelijk Leopold en Irene, Zomergem, 1929",null,foto,1929,jaren 1920,"bruidspaar","bruidsboeket","studioportret",null,"huwelijk","Zomergem",null,null
FO-20-00197,"Huwelijksportret, jaren 1920",null,foto,null,jaren 1920,"bruidspaar","studioportret","bruidsboeket",null,"huwelijk",,,
FO-20-00235,"Studioportret bruidspaar met familie, ca. 1929",null,foto,1929,jaren 1920,"bruidspaar","bloem (plant)","studioportret","groepsportret","huwelijk",,,
FO-20-00236,"Huwelijksportret, ca. 1920-1922",null,foto,1920,jaren 1920,"studioportret","bruidspaar","bruidsboeket",null,"huwelijk",,,
FO-20-00240,"Huwelijk Louise en François, 1920",null,foto,1920,jaren 1920,"bruidspaar","studioportret","bruidsboeket",null,"huwelijk",,,
