base,filename,extension,type,theme,period,tag 1,pct 1,tag 2,pct 2,tag 3,pct 3,tag 4,pct 4,tag 5,pct 5
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/2003-036-018,2003-036-018,tif,onbekend,huwelijk,onbekend,40s,0.36061725,50s,0.2840977,30s,0.17302902,20s,0.102233574,10s,0.035085
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/2012-029,2012-029,tif,onbekend,huwelijk,onbekend,50s,0.4902506,40s,0.21977715,60s,0.18376416,70s,0.053384878,30s,0.045225214
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/2012-030-001,2012-030-001,tif,onbekend,huwelijk,onbekend,60s,0.31131688,50s,0.17921777,70s,0.1422553,20s,0.1387431,30s,0.13396652
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/2012-030-002,2012-030-002,tif,onbekend,huwelijk,onbekend,50s,0.66171706,40s,0.24511884,60s,0.051452734,30s,0.02284244,70s,0.012228368
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/2012-030-003,2012-030-003,tif,onbekend,huwelijk,onbekend,60s,0.44776186,70s,0.29107702,50s,0.106887974,20s,0.09139263,30s,0.046552997
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/2012-030-007,2012-030-007,tif,onbekend,huwelijk,onbekend,60s,0.3557932,70s,0.32619512,50s,0.29339266,30s,0.014947295,40s,0.0038799571
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/2012-030-008,2012-030-008,tif,onbekend,huwelijk,onbekend,50s,0.33131158,30s,0.19871475,40s,0.14307891,60s,0.13054733,20s,0.11466136
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0001-0005,DIA-0001-0005,tif,diapositief,vakantie,onbekend,70s,0.49152324,80s,0.28192216,90s,0.1589764,60s,0.049210437,50s,0.009863539
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0001-0050,DIA-0001-0050,tif,diapositief,vakantie,onbekend,80s,0.41781303,70s,0.4007,90s,0.1254357,60s,0.05097772,30s,0.00271212
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0001-0197,DIA-0001-0197,tif,diapositief,vakantie,onbekend,70s,0.46654305,80s,0.42330146,90s,0.07601881,60s,0.02861745,50s,0.002262116
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0001-0201,DIA-0001-0201,tif,diapositief,vakantie,onbekend,70s,0.4386581,80s,0.32119277,60s,0.16949075,90s,0.05693296,50s,0.008910623
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0001-0234,DIA-0001-0234,tif,diapositief,vakantie,onbekend,70s,0.5340944,80s,0.300274,90s,0.11836257,60s,0.04028923,50s,0.003995797
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0002-0147,DIA-0002-0147,tif,diapositief,vakantie,onbekend,80s,0.5035198,70s,0.37785885,90s,0.09102332,60s,0.026370952,30s,0.0005637514
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0003-0020,DIA-0003-0020,tif,diapositief,vakantie,onbekend,70s,0.62809163,80s,0.1544275,60s,0.15004624,90s,0.064244635,50s,0.0014852742
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0003-0052,DIA-0003-0052,tif,diapositief,vakantie,onbekend,70s,0.58352995,80s,0.19750659,60s,0.18435302,90s,0.029373646,50s,0.002401306
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0006-0066,DIA-0006-0066,tif,diapositief,vakantie,onbekend,80s,0.6793243,90s,0.20934962,70s,0.10110225,60s,0.009803633,30s,0.0002657897
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0006-0131,DIA-0006-0131,tif,diapositief,vakantie,onbekend,70s,0.43551782,80s,0.39821416,60s,0.09142154,90s,0.06989384,30s,0.0028656821
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0006-0135,DIA-0006-0135,tif,diapositief,vakantie,onbekend,80s,0.5926087,90s,0.23775482,70s,0.1556692,60s,0.013185952,30s,0.00056979613
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0006-0204,DIA-0006-0204,jpg,diapositief,vakantie,onbekend,70s,0.53485376,60s,0.23442118,80s,0.16930144,50s,0.024836328,90s,0.024739347
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0008-0075,DIA-0008-0075,tif,diapositief,vakantie,onbekend,80s,0.6345647,70s,0.17723146,90s,0.16127193,60s,0.025561888,30s,0.0006112488
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0009-0063,DIA-0009-0063,tif,diapositief,vakantie,onbekend,80s,0.4205515,70s,0.27615964,60s,0.20946458,90s,0.0885846,30s,0.0020915314
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0014-0042,DIA-0014-0042,jpg,diapositief,vakantie,onbekend,70s,0.6126247,60s,0.19470428,80s,0.054047134,40s,0.04420701,90s,0.03124338
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0016-0063,DIA-0016-0063,tif,diapositief,vakantie,onbekend,70s,0.5559684,60s,0.29547328,80s,0.11519676,90s,0.023234691,50s,0.004662866
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0016-0088,DIA-0016-0088,tif,diapositief,vakantie,onbekend,80s,0.47708726,70s,0.3272665,90s,0.12093472,60s,0.05944311,50s,0.008817651
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0029-0094,DIA-0029-0094,tif,diapositief,vakantie,onbekend,80s,0.70191973,90s,0.20697384,70s,0.08493059,60s,0.005271318,30s,0.0007263005
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0029-0100,DIA-0029-0100,tif,diapositief,vakantie,onbekend,80s,0.65105915,90s,0.28263396,70s,0.0609626,60s,0.0051258816,30s,0.00014580006
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0037-0014,DIA-0037-0014,tif,diapositief,vakantie,onbekend,70s,0.3992927,80s,0.28703073,90s,0.1783083,60s,0.102338135,30s,0.018606894
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0037-0069,DIA-0037-0069,jpg,diapositief,vakantie,onbekend,70s,0.46963525,80s,0.25152302,60s,0.12918873,90s,0.05748113,50s,0.04309375
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/DIA-0037-0149,DIA-0037-0149,tif,diapositief,vakantie,onbekend,80s,0.34387523,70s,0.31377319,90s,0.14492798,60s,0.110633224,50s,0.047181703
