tag 1,pct 1,tag 2,pct 2,tag 3,pct 3,tag 4,pct 4,tag 5,pct 5
50s,0.35777667,20s,0.19835515,40s,0.18404135,30s,0.14680862,10s,0.049392816
50s,0.604361,60s,0.19977853,40s,0.1101015,70s,0.042375617,30s,0.03189532
50s,0.28450584,20s,0.23341858,60s,0.18370016,30s,0.14274907,70s,0.0691386
50s,0.7781601,40s,0.12968725,60s,0.03736344,30s,0.028916221,20s,0.010618475
60s,0.31457135,50s,0.20006818,20s,0.19044688,30s,0.1389238,70s,0.12635633
60s,0.43157914,50s,0.3514012,70s,0.19152425,30s,0.017539645,40s,0.0034158304
50s,0.46975207,30s,0.18093769,20s,0.13504376,40s,0.090259805,60s,0.063100256
70s,0.435428,90s,0.23518239,80s,0.21196268,60s,0.06529669,50s,0.032321997
70s,0.37479308,80s,0.3019235,90s,0.19577916,60s,0.10027794,50s,0.0149908895
70s,0.42652372,80s,0.39363512,90s,0.10792608,60s,0.055177927,50s,0.0106419735
70s,0.4158529,60s,0.2241103,80s,0.22225896,90s,0.09063036,50s,0.03387281
70s,0.51473933,80s,0.20371658,90s,0.16065347,60s,0.07036587,50s,0.037797853
70s,0.44776937,80s,0.35003674,90s,0.11914833,60s,0.072034925,50s,0.0051576286
70s,0.4929183,60s,0.33629888,80s,0.09133137,90s,0.066982485,50s,0.007987101
70s,0.50824624,60s,0.25877345,80s,0.16786717,90s,0.042250756,50s,0.015835756
80s,0.43824637,90s,0.317782,70s,0.1914436,60s,0.047350697,30s,0.002619595
70s,0.4672344,60s,0.2066392,80s,0.2057888,90s,0.09093503,30s,0.014283416
70s,0.35125896,90s,0.268748,80s,0.25395268,60s,0.11627564,30s,0.005798753
70s,0.50250626,60s,0.24685235,80s,0.12609859,50s,0.06358914,90s,0.041058175
80s,0.48842174,90s,0.2308765,70s,0.2150961,60s,0.058320742,30s,0.0028248115
80s,0.36252186,70s,0.26935893,60s,0.19195805,90s,0.15722196,30s,0.00773037
70s,0.4775769,60s,0.19613852,50s,0.11161077,40s,0.058165964,80s,0.04711808
70s,0.45215073,60s,0.33670625,80s,0.1302429,90s,0.04674939,50s,0.021896016
70s,0.37912962,80s,0.25288823,90s,0.17137077,60s,0.1415575,50s,0.038739644
80s,0.4838866,90s,0.27485433,70s,0.20695488,60s,0.023990348,30s,0.0070068026
80s,0.44249558,90s,0.40794897,70s,0.122860126,60s,0.024639241,50s,0.0009194333
70s,0.44156647,60s,0.17063421,90s,0.1651032,80s,0.12582505,50s,0.050949506
70s,0.44281137,60s,0.20606126,80s,0.12570934,50s,0.09468108,90s,0.065450676
70s,0.35885003,80s,0.21233587,90s,0.18949445,60s,0.13153084,50s,0.059126183
70s,0.37277114,80s,0.275986,60s,0.16017407,90s,0.099390864,50s,0.05970842
70s,0.46921223,80s,0.23783611,90s,0.11202247,50s,0.07608704,30s,0.045834076
80s,0.39427432,90s,0.29077327,70s,0.2383244,60s,0.064010754,30s,0.0071609127
70s,0.43655714,60s,0.23026524,80s,0.17486036,90s,0.11105074,50s,0.028402872
80s,0.38933635,70s,0.380534,90s,0.14773837,60s,0.07178089,50s,0.008375657
90s,0.38077942,80s,0.30065823,70s,0.24212806,60s,0.07412018,50s,0.0014896085
80s,0.45568764,90s,0.28995505,70s,0.21349132,60s,0.036655467,30s,0.0022051465
60s,0.44887498,70s,0.42379835,80s,0.04492287,50s,0.039603785,90s,0.020010144
70s,0.41429517,60s,0.33084568,50s,0.12792374,80s,0.04663603,90s,0.031997018
70s,0.4635219,80s,0.26742303,90s,0.19508834,60s,0.03190338,50s,0.030016959
80s,0.5015694,70s,0.30777603,90s,0.1357725,60s,0.047627665,50s,0.0040539727
70s,0.46736544,80s,0.2591915,90s,0.13346624,60s,0.11231538,50s,0.016509809
70s,0.59111714,80s,0.17899859,60s,0.11936485,50s,0.04838571,90s,0.036721118
