beeld URL,modelnaam,tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10,tag 11, tag 12,tag 13,tag 14,tag 15,tag 16,tag 17,tag 18,tag 19,tag 20
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0005/full/full/0/default.jpg,Travel,Boat (0.90318656),Summer (0.48415628),Water Sports (0.37418973),Daytime (0.30857024),Sports & Activities (0.30161813),People (0.2495456),Bicycling (0.19288544),Water Park (0.19091836),Terrace (0.1692036),Surroundings (0.13382211),Tennis Court (0.11685186),Spring (0.11218669),Snow & Ski Sports (0.11143849),Balcony (0.08898765),Beach (0.078093395),View (0.07364523),Golf Course (0.06658195),Casino (0.052246),Building (0.049048755),Nighttime (0.04514297)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0050/full/full/0/default.jpg,Travel,Boat (0.9934742),People (0.71057415),Daytime (0.57913125),Balcony (0.52354777),Hot Tub (0.4382175),Water Park (0.34190184),Fountain (0.32958794),Snow & Ski Sports (0.3264522),Water Sports (0.29084352),Summer (0.28900787),Terrace (0.26832414),Animals (0.15770125),Surroundings (0.12133712),Casino (0.11966418),Television (0.09035178),View (0.08784968),Bar (0.081115715),Restaurant (0.07565864),Details (0.066211864),Sports & Activities (0.059092455)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0197/full/full/0/default.jpg,Travel,Gift Shop (0.98315626),Food & Beverages (0.36913776),Bar (0.36319584),Restaurant (0.36275727),Reception (0.3510972),Sports & Activities (0.34200576),Animals (0.25263578),Entrance (0.22354025),Game Room (0.1867134),Daytime (0.1821896),Lounge (0.18044667),Summer (0.16225915),People (0.15841849),Building (0.14244758),Fireplace (0.14057457),Garden (0.09519971),Wedding (0.091748476),Nighttime (0.08826486),Snow & Ski Sports (0.08478667),Casino (0.08309736)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0201/full/full/0/default.jpg,Travel,Boat (0.92893374),Summer (0.8197154),People (0.5923304),Terrace (0.37943265),Daytime (0.36346135),Sports & Activities (0.3608578),Surroundings (0.29570422),Television (0.27078095),Entrance (0.26924598),Fireplace (0.21737644),Water Sports (0.1798864),Spring (0.15878122),Golf Course (0.15102679),Bicycling (0.1236647),Hot Tub (0.10248977),Animals (0.101409025),Kids Area (0.096527375),Bar (0.092440076),Restaurant (0.08948154),Building (0.08868085)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0234/full/full/0/default.jpg,Travel,Boat (0.89826274),People (0.84632385),Daytime (0.7496416),Summer (0.6985076),Terrace (0.4955859),Water Sports (0.30466923),Water Park (0.27124467),Snow & Ski Sports (0.20502324),Restaurant (0.20387594),Entrance (0.20324144),Television (0.19791234),Surroundings (0.17720453),Wedding (0.16593477),Sports & Activities (0.15862761),Autumn (0.15168683),Animals (0.1440533),Fireplace (0.12262329),Casino (0.105344005),Nighttime (0.10250973),Bar (0.0853456)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0002-0147/full/full/0/default.jpg,Travel,Gift Shop (0.9016657),Summer (0.4888439),Animals (0.40639693),Autumn (0.25448903),Surroundings (0.24862938),Kids Area (0.23605327),People (0.23007989),Food & Beverages (0.22497834),Daytime (0.21168068),Restaurant (0.1616231),Snow & Ski Sports (0.15306488),Spring (0.128852),Entrance (0.109414004),Bar (0.107059725),Garden (0.096433125),Terrace (0.087720335),Fireplace (0.07717969),Sports & Activities (0.07666426),Reception (0.064598046),Communal Areas (0.057971478)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0003-0020/full/full/0/default.jpg,Travel,Building (0.9479004),Balcony (0.931537),Entrance (0.7357508),Details (0.6620608),Summer (0.6235792),View (0.39937568),Surroundings (0.37753397),Daytime (0.34885484),Boat (0.21723409),Terrace (0.21017683),People (0.20900583),Television (0.12489944),Sports & Activities (0.11228706),Fountain (0.07341072),Garden (0.07301312),Nighttime (0.055112712),Winter (0.048357714),Logo (0.04652635),Autumn (0.037365768),In-Room Kitchenette (0.03664893)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0003-0052/full/full/0/default.jpg,Travel,Building (0.92493343),Daytime (0.70556635),Casino (0.69339395),Surroundings (0.43481833),Garden (0.3733697),Nighttime (0.35584727),Tennis Court (0.29505056),Terrace (0.24529746),Summer (0.22153947),Fountain (0.2096744),Television (0.2072764),Balcony (0.20516163),Entrance (0.1966341),View (0.16505606),Beach (0.15736757),Details (0.13521129),Boat (0.12861367),Sports & Activities (0.09953575),People (0.090068296),Water Sports (0.07164382)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0006-0066/full/full/0/default.jpg,Travel,People (0.94872326),Daytime (0.8401213),Summer (0.6287897),Surroundings (0.5792388),Building (0.44340518),Entrance (0.4213737),Sports & Activities (0.3532648),Restaurant (0.32414934),Terrace (0.2941537),Garden (0.2862094),Television (0.2563597),Details (0.25118086),Fountain (0.24989398),Autumn (0.24287024),Animals (0.21128815),Nighttime (0.21060821),Spring (0.17398159),Food & Beverages (0.1608811),Fireplace (0.122146994),Couch (0.11277988)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0006-0131/full/full/0/default.jpg,Travel,Terrace (0.63408005),Balcony (0.6114998),Summer (0.56257796),Surroundings (0.4926565),View (0.4123881),Daytime (0.38645184),Entrance (0.3620956),People (0.36179897),Boat (0.321234),Building (0.2770778),Fountain (0.24664754),Winter (0.19456391),Food & Beverages (0.14700066),Autumn (0.14448588),Details (0.10846614),Nighttime (0.10521961),Stairs (0.102560006),Sports & Activities (0.10186718),Snow & Ski Sports (0.092241466),Restaurant (0.08944917)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0006-0135/full/full/0/default.jpg,Travel,People (0.9053119),Daytime (0.63510084),Summer (0.58869874),Animals (0.4620542),Surroundings (0.42434704),Sports & Activities (0.4014776),Terrace (0.3480381),Bicycling (0.33280316),Fountain (0.28810883),Boat (0.21596292),Restaurant (0.20910612),Building (0.20523652),Television (0.17405935),Balcony (0.16454588),Spring (0.16190171),Snow & Ski Sports (0.1584578),Food & Beverages (0.15693206),Nighttime (0.15667252),Fireplace (0.1503534),Yoga (0.14386934)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0006-0204/full/full/0/default.jpg,Travel,Boat (0.91339415),Daytime (0.70361334),Television (0.6335162),People (0.5856716),Fireplace (0.45363504),Snow & Ski Sports (0.3955059),Entrance (0.38152775),Building (0.34157315),Summer (0.2728073),Surroundings (0.2524123),Reception (0.24651527),Sports & Activities (0.17839149),Animals (0.17281735),Details (0.16738161),Bunk Beds (0.16353972),Terrace (0.16188571),Water Sports (0.15607469),Fountain (0.12858348),Bicycling (0.11888873),Balcony (0.115706995)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0008-0075/full/full/0/default.jpg,Travel,Garden (0.7807564),Fountain (0.73340446),Entrance (0.48528835),Summer (0.3871269),Terrace (0.32473472),Building (0.26450875),People (0.25310656),Surroundings (0.24155669),Details (0.2176756),Daytime (0.2093743),Sports & Activities (0.20741323),Communal Areas (0.18390831),Wellness & Spa (0.17244299),Fireplace (0.13853298),Kids Area (0.13558191),Nighttime (0.13114366),Yoga (0.11564039),Boat (0.11451184),Couch (0.11238437),Television (0.111736394)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0009-0063/full/full/0/default.jpg,Travel,Fountain (0.969848),Surroundings (0.73360336),Entrance (0.6298445),Terrace (0.55833626),Summer (0.36906648),Building (0.352657),Garden (0.31540143),Sports & Activities (0.27295375),Restaurant (0.22458997),Daytime (0.21525791),People (0.20118248),Communal Areas (0.19525647),View (0.1589647),Spring (0.101123296),Golf Course (0.09724572),Reception (0.090305276),Autumn (0.08995786),Winter (0.089807734),Stairs (0.08933715),Food & Beverages (0.080042176)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0014-0042/full/full/0/default.jpg,Travel,null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0016-0063/full/full/0/default.jpg,Travel,Building (0.8766738),Summer (0.68622005),View (0.6043098),Surroundings (0.36938906),Balcony (0.34945562),Garden (0.31864533),Daytime (0.28206205),Boat (0.2607059),Details (0.2094517),Terrace (0.16348249),Casino (0.1267469),Television (0.11592274),Spring (0.11378614),People (0.0947251),Nighttime (0.08639085),Entrance (0.08255689),Water Sports (0.061721925),Winter (0.061438613),Golf Course (0.059734523),Water Park (0.056735825)
