tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10
People (0.95822424),Gentleman (0.8301639),Grandparent (0.67067033),Family (0.6621861),Vintage clothing (0.61695933),null (null),null (null),null (null),null (null),null (null)
Gown (0.9907063),Wedding dress (0.9886327),Bride (0.9826222),Photograph (0.97324765),Dress (0.96852744),Bridal clothing (0.9546058),Clothing (0.92374724),Formal wear (0.9014215),Lady (0.8953211),Marriage (0.88321894)
Photograph (0.97499466),Social group (0.9463158),People (0.9450432),Snapshot (0.8805255),Family (0.6865104),Monochrome (0.64315295),Vintage clothing (0.6326264),Event (0.6273696),Photography (0.62422496),Black-and-white (0.564079)
Photograph (0.96791106),Lady (0.85497016),Classic (0.7840004),Vintage clothing (0.7502508),Gown (0.672968),Event (0.6704324),Dress (0.6435888),Family (0.61145276),Wedding dress (0.58123994),Black-and-white (0.564079)
Room (0.6566393),History (0.57590634),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Vehicle (0.99030316),Motor vehicle (0.98262453),Photograph (0.95274854),Car (0.93760216),Classic (0.8934622),Vehicle door (0.83567667),Classic car (0.7334285),Automotive exterior (0.7311965),Mid-size car (0.67131305),Vintage car (0.5763344)
Photograph (0.9643179),Snapshot (0.8523099),Standing (0.83563834),Photography (0.62422496),Family (0.6070408),Crew (0.5780987),Black-and-white (0.564079),null (null),null (null),null (null)
Vehicle (0.99030316),Airplane (0.99016947),Air travel (0.9836854),Aircraft (0.9799872),Airliner (0.9749272),Airline (0.97198635),Aviation (0.96781015),Aerospace engineering (0.9239857),Airport apron (0.87682545),Flight (0.8730691)
Vehicle (0.8468663),Boat (0.81187606),Watercraft (0.639913),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Shopkeeper (0.84661466),Selling (0.7205741),Bazaar (0.70683205),Retail (0.6964077),Building (0.6890961),Temple (0.6371843),Tourism (0.608511),Collection (0.5847215),Street (0.545891),Display window (0.53882134)
Land vehicle (0.9961627),Vehicle (0.99030316),Transport (0.98137265),Bus (0.9762692),Mode of transport (0.97461957),Motor vehicle (0.96272266),Car (0.92815083),Commercial vehicle (0.86935115),Public transport (0.8621169),Flxible new look bus (0.5336188)
Transport (0.9707198),Passenger (0.96527785),Air travel (0.9616652),Mode of transport (0.9509481),Vehicle (0.9331717),Airplane (0.89924127),Boarding (0.89762247),Aerospace engineering (0.87702376),Airline (0.8667768),Airport (0.86407095)
Snapshot (0.8358544),Marketplace (0.8197064),Bazaar (0.81315994),Public space (0.8073181),Market (0.8069395),Street (0.76820374),Pedestrian (0.7545386),Temple (0.70642054),City (0.59574616),Building (0.5952828)
Building (0.9905031),Architecture (0.9292597),Apartment (0.91687715),Property (0.9052493),Condominium (0.89901954),Residential area (0.8825822),Mixed-use (0.82245314),Facade (0.81665593),Commercial building (0.8011881),Urban area (0.7497135)
Architecture (0.9237856),Property (0.8751007),Building (0.86146665),Headquarters (0.7783753),Mixed-use (0.7495648),Corporate headquarters (0.74946404),City (0.7378934),Sky (0.7326111),Hotel (0.70532525),Condominium (0.69100916)
People (0.93702155),Tourism (0.858114),Pedestrian (0.7874758),Crowd (0.6631902),Architecture (0.65451187),City (0.6214529),Street (0.57382035),Vacation (0.5459583),null (null),null (null)
Architecture (0.9071163),Waterway (0.8487146),Town (0.8440617),Building (0.8414527),Bridge (0.783693),City (0.76501304),Pedestrian (0.7577481),Tourism (0.7109198),Town square (0.6960288),Street (0.66284126)
Public space (0.8864073),Town square (0.8581086),Human settlement (0.84824914),Pedestrian (0.8463797),City (0.84630316),Street (0.8052285),Tourism (0.7592621),Urban area (0.7497135),Architecture (0.7263346),Infrastructure (0.71681386)
Land vehicle (0.9961627),Vehicle (0.99030316),Transport (0.9867043),Passenger car (0.98427624),Rolling stock (0.9811542),Railroad car (0.975946),Mode of transport (0.95340633),Train (0.9512378),Railway (0.91078943),Public transport (0.89473104)
Building (0.8816342),Architecture (0.86487967),Tree (0.82545435),Courtyard (0.77165514),Statue (0.74030495),House (0.7015267),City (0.6971714),Palace (0.67983454),Water feature (0.6483496),Mansion (0.62470794)
Town (0.9002942),Building (0.84862953),Architecture (0.8438726),Tourism (0.7592621),Sky (0.7326111),City (0.6861301),Arch (0.63718516),Travel (0.5926231),History (0.57590634),Street (0.57382035)
null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Architecture (0.9142084),Property (0.9085858),Building (0.8864986),Condominium (0.7848906),Residential area (0.7427393),Real estate (0.73956835),House (0.6828887),Mixed-use (0.6663167),Urban design (0.6465494),City (0.64202905)
Air travel (0.9740392),Passenger (0.9606772),Vehicle (0.92384964),Airplane (0.9183052),Aerospace engineering (0.9178597),Transport (0.9136639),Boarding (0.8811378),Airline (0.8541962),Aviation (0.85281456),Mode of transport (0.80817014)
Pigeons and doves (0.9511067),Public space (0.8668638),Tourism (0.8263451),Water (0.8073041),Architecture (0.76329434),Vacation (0.7606969),Bird (0.7422248),City (0.73116827),Fun (0.7039424),Town square (0.69236964)
People (0.94334805),Public space (0.8841815),Tourism (0.83173186),Human settlement (0.82875645),Snapshot (0.82030433),Town square (0.8180102),City (0.79172325),Pedestrian (0.7055631),Fun (0.7039424),Crowd (0.6915826)
People (0.93702155),Standing (0.81915694),Tourism (0.8103907),Vacation (0.79327804),Fun (0.7039424),Sea (0.6994819),Ocean (0.69721884),Beach (0.64871204),Travel (0.6378265),Family (0.561453)
Vacation (0.9297963),Water (0.91002715),Sea (0.8998535),Beauty (0.8783526),Beach (0.87464225),Fun (0.8575278),Summer (0.8154274),Leg (0.8079747),Ocean (0.8027685),Sky (0.7326111)
Land vehicle (0.9961627),Vehicle (0.99030316),Motor vehicle (0.96272266),Car (0.9531706),Classic (0.9502614),Classic car (0.89582086),Automotive design (0.86326146),Antique car (0.81826067),Vintage car (0.7539368),Automotive wheel system (0.6540399)
Vehicle (0.9559947),Mode of transport (0.93203014),Transport (0.92587775),Car (0.9243602),Motor vehicle (0.9010037),RV (0.8685067),Van (0.82829034),Travel trailer (0.75154114),Sky (0.7326111),Caravan (0.7022556)
Sky (0.8857546),Sea (0.8523204),Beach (0.80008155),Ecoregion (0.77636164),Travel trailer (0.7728294),Vacation (0.7684781),Coast (0.76598626),Summer (0.7483937),Horizon (0.72972023),Landscape (0.7008891)
Tourism (0.8612461),Pedestrian (0.83634114),Fashion (0.7979212),Architecture (0.76329434),City (0.6214529),Street (0.6169727),Vacation (0.6000337),Building (0.5835272),Walking (0.5514252),Travel (0.5482437)
null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Vehicle (0.96319395),Motor vehicle (0.96272266),Car (0.9531706),Luxury vehicle (0.77790976),Classic car (0.7493932),Tree (0.68692183),House (0.6828887),Compact car (0.65825707),Recreation (0.6427465),State park (0.60495454)
Snapshot (0.8850622),Pedestrian (0.7328326),Street (0.6342039),Photography (0.62422496),Tourism (0.56889546),Travel (0.5182027),null (null),null (null),null (null),null (null)
People (0.9393769),Public space (0.90028906),Town square (0.8781884),Tourism (0.87456864),Pedestrian (0.80244106),Architecture (0.76329434),City (0.7378934),Plaza (0.68627524),Crowd (0.578055),Street (0.57382035)
Vehicle (0.92071724),Boat (0.88192254),Ship (0.87582576),Watercraft (0.8453825),Fun (0.7039424),Ferry (0.696855),Passenger ship (0.6960196),Ocean liner (0.6763849),Motor ship (0.64406043),Cruise ship (0.58159435)
Photograph (0.9480249),Mountain (0.8790873),Sky (0.8220895),Mountain range (0.7938003),Alps (0.7363595),Photography (0.62422496),Tourism (0.608511),Cloud (0.59490913),Landscape (0.59305805),Chapel (0.54938424)
People on beach (0.9840688),Fun (0.8575278),Summer (0.85417026),Vacation (0.8315344),Sun tanning (0.7194018),Tourism (0.6970808),Recreation (0.6427465),Leisure (0.63881713),Beach (0.63570714),Sitting (0.62504894)
Marketplace (0.88189),Balloon (0.8666397),Town (0.85847324),Selling (0.83605444),Plant (0.69686484),Street (0.68590045),Fruit (0.682014),Tourism (0.56889546),Hawker (0.55695873),Stall (0.5464494)
Transport (0.9233642),Mode of transport (0.89089024),Yellow (0.8820182),Snapshot (0.8358544),Sky (0.8220895),Hawker (0.81654185),Vacation (0.752039),Vehicle (0.7485978),Footwear (0.72948766),Street (0.68590045)
Motor vehicle (0.98018134),Vehicle (0.9509403),Transport (0.9301913),Mode of transport (0.91175574),Car (0.88586134),Tree (0.68692183),Minibus (0.6709783),Minivan (0.60513663),Tourism (0.56889546),Van (0.5437291)
Photograph (0.949849),People (0.9450432),Yellow (0.8820182),Tourism (0.87456864),Pedestrian (0.8725209),Town (0.86423707),Snapshot (0.8635382),Street (0.8557102),Fashion (0.83260477),Vacation (0.7684781)
Snow (0.98211163),Mountainous landforms (0.93815917),Winter (0.9249341),Mountain range (0.92436296),Ski (0.91807956),Piste (0.90835375),Mountain (0.908282),Skiing (0.8842592),Ski Equipment (0.87824655),Recreation (0.86796504)
Ski (0.95023245),Snow (0.92311615),Ski Equipment (0.90872204),Winter (0.90357864),Skiing (0.80618984),Recreation (0.772473),Winter sport (0.7510244),Trekking pole (0.7184388),Ski touring (0.69430315),Ski pole (0.67763025)
Mountain (0.961428),Mountainous landforms (0.9579929),Snow (0.9519977),Mountain village (0.9490186),Winter (0.94107336),Mountain range (0.92507523),Property (0.90138626),Alps (0.8699862),Roof (0.8542597),Hill station (0.8350565)
Transport (0.9116006),Air travel (0.9090735),Vehicle (0.8844832),Airplane (0.8750094),Passenger (0.85007095),Mode of transport (0.80817014),Airliner (0.80178165),Airline (0.7922974),Aerospace engineering (0.7423668),Aircraft (0.69608504)
Beach (0.974547),People on beach (0.95908),Wave (0.9383921),Fun (0.91776484),Sea (0.91591156),Water (0.91002715),Ocean (0.89627606),Coast (0.8872904),Vacation (0.85452944),Shore (0.85004675)
Pedestrian (0.9052682),Tourism (0.8530416),Urban area (0.8029192),Metropolitan area (0.7680989),Street (0.753175),Vacation (0.7312843),Architecture (0.7263346),Infrastructure (0.71681386),City (0.6971714),Tree (0.68692183)
People on beach (0.98550725),Sun tanning (0.96907437),Beach (0.948665),Vacation (0.8756776),Fun (0.8713785),Summer (0.82223016),Tourism (0.8103907),Spring break (0.75968134),Sand (0.75025374),Sea (0.6819732)
People on beach (0.985507),Sun tanning (0.9793881),Beach (0.9059181),Vacation (0.8704959),Sand (0.86661273),Fun (0.84841114),Summer (0.8406519),Leg (0.76066875),Sitting (0.72911227),Tourism (0.68093157)
Land vehicle (0.9961627),Vehicle (0.99030316),Car (0.98701257),Classic car (0.9755782),Regularity rally (0.93807954),Coupé (0.89416146),Volvo amazon (0.74248123),Sedan (0.7366414),Classic (0.63818127),Antique car (0.5690721)
Motor vehicle (0.98207873),Vehicle (0.9509403),Classic (0.91818213),Car (0.917874),Classic car (0.8356209),Luxury vehicle (0.77790976),Vintage car (0.7539368),Antique car (0.7162939),Full-size car (0.68890774),Mid-size car (0.67131305)
Snow (0.9478404),Winter (0.8936314),Fun (0.7684728),Geological phenomenon (0.739093),Footwear (0.72948766),Snowshoe (0.72826463),Recreation (0.712429),Mountain (0.6535996),Mountain range (0.6056863),Adventure (0.602436)
Flag (0.89161843),Landmark (0.891357),Architecture (0.8605384),Town (0.8233542),Building (0.8121234),Facade (0.7591145),City (0.7441072),Tourism (0.7109198),Street (0.64935994),Pedestrian (0.6381124)
People in nature (0.9789053),Hill station (0.9514763),Mountainous landforms (0.9367367),Mountain (0.8768183),Hill (0.8292144),Adventure (0.7738129),Mountain range (0.7451287),Grassland (0.7404398),Recreation (0.712429),Hiking (0.7085273)
Palm tree (0.87959874),Tree (0.86460465),Arecales (0.8124612),Adaptation (0.77257794),Tourism (0.73358697),Plant (0.7165826),Vacation (0.6860961),Attalea speciosa (0.6170631),Travel (0.6098034),Leisure (0.5618612)
Sun tanning (0.93537265),Leisure (0.8970829),Barechested (0.8383726),Vacation (0.81144464),Summer (0.7857205),Fun (0.7684728),Tourism (0.7515565),Grass (0.68802327),Tree (0.68692183),Recreation (0.59429896)
Photograph (0.9668756),People (0.9504782),Snapshot (0.8695101),Event (0.8636533),Fun (0.7039424),Ceremony (0.678688),Formal wear (0.6369653),Family (0.6250956),Photography (0.62422496),null (null)
Photograph (0.9640232),Snapshot (0.8695101),Event (0.7475101),Fun (0.7039424),Mother (0.688267),Sitting (0.67567986),Ceremony (0.66910744),Photography (0.62422496),Happy (0.61664754),Smile (0.5404296)
Rite (0.9667821),Event (0.90321815),Ceremony (0.89078057),Religious institute (0.88258016),Presbyter (0.8592477),Bishop (0.85123026),Priesthood (0.8482544),Blessing (0.84553325),Ritual (0.84016645),Deacon (0.8158651)
Photograph (0.95947856),Snapshot (0.8291832),Ceremony (0.5956422),Plucked string instruments (0.5482864),Groom (0.5072721),Wedding (0.5064899),Art (0.5021872),null (null),null (null),null (null)
Snapshot (0.83273077),Event (0.7475101),Fun (0.7039424),Child (0.57330555),null (null),null (null),null (null),null (null),null (null),null (null)
Mountainous landforms (0.97573674),Mountain (0.96715534),Mountain range (0.938019),Alps (0.82676715),Summit (0.79811877),Glacial landform (0.7920453),Massif (0.75060135),Travel (0.7493967),Glacier (0.7489733),Tourism (0.7430498)
Road (0.7684309),Sign (0.7157289),Signage (0.6875649),Hill station (0.6833001),Landscape (0.59305805),Mountain (0.5819699),Mountain range (0.5750499),Mountain pass (0.5746049),Tourism (0.5114329),null (null)
Art (0.5021872),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Building (0.9395731),Architecture (0.9175522),Mixed-use (0.83556944),Condominium (0.8100806),Commercial building (0.80736166),Apartment (0.7465181),Hotel (0.7368371),Facade (0.72486854),Real estate (0.68865216),Corporate headquarters (0.6637071)
Tourism (0.8967335),Sky (0.8220895),Leisure (0.81399584),Vacation (0.79830956),Mountain (0.7528302),House (0.75266695),Summer (0.7279953),Fun (0.7039424),Tree (0.68692183),Travel (0.6861588)
