filename,period,theme
DIA-60-00057,60s,vakantie
DIA-60-00107,60s,vakantie
DIA-60-00141,60s,vakantie
DIA-70-00086,70s,vakantie
DIA-70-00108,70s,geboorte
DIA-70-00177,70s,vakantie
DIA-80-00001,80s,speelgoed
DIA-80-00249,80s,vakantie
DIA-90-00009,90s,vakantie
FO-00-00037,00s,speelgoed
FO-00-00081,00s,geboorte
FO-10-00064,10s,speelgoed
FO-10-00077,10s,huwelijk
FO-10-00103,10s,geboorte
FO-20-00070_a3,20s,geboorte
FO-20-00098,20s,speelgoed
FO-20-00235,20s,huwelijk
FO-20-00242,20s,huwelijk
FO-20-00291,20s,huwelijk
FO-20-00298,20s,vakantie
FO-20-00303_a3,20s,vakantie
FO-30-00136,30s,vakantie
FO-30-00189,30s,huwelijk
FO-30-00201,30s,speelgoed
FO-30-00304_a3,30s,vakantie
FO-30-00325,30s,vakantie
FO-30-00346,30s,vakantie
FO-30-00460,30s,huwelijk
FO-30-00496,30s,huwelijk
FO-30-00669,30s,speelgoed
FO-30-00702,30s,huwelijk
FO-40-00459,40s,huwelijk
FO-40-00528,40s,huwelijk
FO-40-00530,40s,huwelijk
FO-40-00549,40s,speelgoed
FO-40-00614,40s,huwelijk
FO-40-00680,40s,huwelijk
FO-40-00717,40s,huwelijk
FO-40-00727,40s,sint
FO-40-00786,40s,sint
FO-40-00800,40s,speelgoed
FO-40-00860,40s,geboorte
FO-40-00899_a3,40s,speelgoed
FO-50-00002,50s,sint
FO-50-00021,50s,sint
FO-50-00024,50s,speelgoed
FO-50-00073,50s,vakantie
FO-50-00179,50s,geboorte
FO-50-00237,50s,huwelijk
FO-50-00355,50s,sint
FO-50-00360,50s,sint
FO-50-00381,50s,speelgoed
FO-50-00439,50s,sint
FO-50-00592,50s,sint
FO-50-00756,50s,speelgoed
FO-50-00796_a3,50s,vakantie
FO-50-00902,50s,vakantie
FO-50-00972,50s,vakantie
FO-50-01283,50s,geboorte
FO-50-01290,50s,huwelijk
FO-50-01313,50s,huwelijk
FO-50-01319,50s,huwelijk
FO-50-01335,50s,huwelijk
FO-50-01339,50s,huwelijk
FO-50-01433,50s,huwelijk
FO-50-01468,50s,huwelijk
FO-50-01617,50s,huwelijk
FO-50-01627,50s,huwelijk
FO-50-01633,50s,huwelijk
FO-50-01646,50s,huwelijk
FO-50-01654,50s,huwelijk
FO-50-01667,50s,huwelijk
FO-50-01681,50s,huwelijk
FO-50-01688,50s,huwelijk
FO-50-01699,50s,huwelijk
FO-50-01722,50s,huwelijk
FO-50-01740,50s,huwelijk
FO-50-01752,50s,huwelijk
FO-50-01875_a3,50s,speelgoed
FO-50-01882,50s,geboorte
FO-50-02052,50s,geboorte
FO-60-00051,60s,huwelijk
FO-60-00134,60s,vakantie
FO-60-00168,60s,geboorte
FO-60-00179,60s,speelgoed
FO-60-00314,60s,huwelijk
FO-60-00587,60s,vakantie
FO-60-00616,60s,vakantie
FO-60-00668,60s,speelgoed
FO-60-00697,60s,vakantie
FO-60-00927,60s,geboorte
FO-60-00935,60s,geboorte
FO-60-00946,60s,huwelijk
FO-60-01009,60s,huwelijk
FO-60-01022,60s,huwelijk
FO-60-01066,60s,huwelijk
FO-60-01098,60s,huwelijk
FO-60-01110,60s,huwelijk
FO-60-01193,60s,huwelijk
FO-60-01209,60s,huwelijk
FO-60-01304,60s,huwelijk
FO-60-01351,60s,huwelijk
FO-60-01386,60s,huwelijk
FO-60-01414,60s,huwelijk
FO-60-01417,60s,huwelijk
FO-60-01432,60s,huwelijk
FO-60-01443,60s,huwelijk
FO-60-01458,60s,huwelijk
FO-60-01471,60s,huwelijk
FO-60-01482,60s,huwelijk
FO-60-01501,60s,huwelijk
FO-60-01521,60s,huwelijk
FO-60-01533,60s,huwelijk
FO-60-01544,60s,huwelijk
FO-60-01564,60s,huwelijk
FO-60-01575,60s,huwelijk
FO-60-01595,60s,huwelijk
FO-60-01852,60s,speelgoed
FO-70-00002,70s,huwelijk
FO-70-00032,70s,geboorte
FO-70-00042,70s,vakantie
FO-70-00142,70s,huwelijk
FO-70-00153,70s,speelgoed
FO-70-00232,70s,speelgoed
FO-70-00401,70s,huwelijk
FO-70-00471,70s,speelgoed
FO-70-00542,70s,huwelijk
FO-70-00631,70s,vakantie
FO-70-00899,70s,geboorte
FO-70-00959,70s,geboorte
FO-70-01000,70s,huwelijk
FO-70-01007,70s,huwelijk
FO-70-01026,70s,huwelijk
FO-70-01038,70s,huwelijk
FO-70-01049,70s,huwelijk
FO-80-00017,80s,geboorte
FO-80-00055,80s,huwelijk
FO-80-00215,80s,speelgoed
FO-80-00289,80s,huwelijk
FO-80-00414,80s,vakantie
FO-80-00447,80s,huwelijk
FO-80-00492,80s,huwelijk
FO-80-00502,80s,speelgoed
FO-80-00560,80s,vakantie
FO-80-00714,80s,speelgoed
FO-90-00006,90s,speelgoed
FO-90-00085,90s,geboorte
FO-90-00184,90s,huwelijk
