beeld URL,modelnaam,tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10,tag 11, tag 12,    tag 13,tag 14,tag 15,tag 16,tag 17,tag 18,tag 19,tag 20
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2003-036-018/full/full/0/default.jpg,General,volk (0.9985938),volwassen (0.9883726),twee (0.9862777),mannelijk (0.9707851),portret (0.96921784),leider (0.9585116),groep (abstractie) (0.9576847),kleding (0.9544071),administratie (0.94704443),drie (0.94303745),hoofddeksel (0.91731197),vrouw (0.8918313),rig (kleding) (0.86307955),groep (0.8601339),deksel (0.8557472),gezichtsuitdrukking (0.84927046),vier (0.8343525),een (0.8288691),acteur (0.81821656),uniform (0.7908744)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-029/full/full/0/default.jpg,General,huwelijk (ritueel) (0.9991158),bruid (0.9982363),volk (0.9976379),bruidegom (0.9963528),hoofddeksel (0.9868047),portret (0.9834541),twee (0.9802705),volwassen (0.97789884),jurk (0.9727317),huwelijk (burgerlijke staat) (0.9722883),ceremonie (0.96738243),mannelijk (0.9540937),vrouw (0.9495394),bloemstuk (0.9486463),kleding (0.93937963),bruids (0.9312204),actrice (0.93121266),toga (0.9254564),smoking (0.91922665),bloemstuk (0.91138476)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-001/full/full/0/default.jpg,General,volk (0.9982524),groep (abstractie) (0.98884463),volwassen (0.9841896),vrouw (0.97520053),portret (0.9645344),groep (0.96202874),mannelijk (0.9589793),leider (0.956668),administratie (0.9559784),veel (0.9503541),kind (0.8972853),kleding (0.8569407),zitten (0.8496858),verscheidene (0.84660876),oorlog (0.8294947),militaire tak (0.825118),musicus (0.81392264),muziek (0.8125595),gezin (0.8087732),hoofddeksel (0.8086179)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-002/full/full/0/default.jpg,General,volk (0.99994177),volwassen (0.99268043),leider (0.99238396),groep (abstractie) (0.99144053),bloemstuk (0.98967844),twee (0.98625416),administratie (0.9849536),actrice (0.9826404),kleding (0.96222436),hoofddeksel (0.9478017),portret (0.9473827),verscheidene (0.94658875),meubilair (0.94231087),royalty (0.938022),een (0.93538296),vrouw (0.93178827),huwelijk (ritueel) (0.92474455),nageslacht (0.923262),ceremonie (0.9231579),acteur (0.9229237)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-003/full/full/0/default.jpg,General,volk (0.99946237),groep (abstractie) (0.9970658),groep (0.9910389),veel (0.9887397),administratie (0.98539335),verscheidene (0.9794602),volwassen (0.9777665),leider (0.97608674),oorlog (0.9300108),stoel (0.92960846),vrouw (0.9232135),mannelijk (0.91760945),militaire tak (0.91599685),vijf (0.91141874),onderwijs (0.88262904),school (0.8486159),meubilair (0.83760405),kleding (0.8310357),strafbaar feit (0.7972222),vier (0.78730226)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-007/full/full/0/default.jpg,General,auto (0.9988415),voertuig (0.99853027),volk (0.9945867),vervoer (0.99362886),vrouw (0.9887465),volwassen (0.9808688),mannelijk (0.97351253),twee (0.9731386),cabriolet (0.9636596),driver (operator) (0.94749403),portret (0.9384057),huwelijk (ritueel) (0.93064344),gezichtsuitdrukking (0.9142007),groep (abstractie) (0.89402884),kind (0.88446844),leider (0.8798815),reizen (0.8788148),administratie (0.87079656),liefde (0.86780673),meisje (0.863284)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-008/full/full/0/default.jpg,General,volk (0.9994972),groep (0.99215865),groep (abstractie) (0.98718196),volwassen (0.98373234),veel (0.9738101),administratie (0.9727422),leider (0.9628444),verscheidene (0.952954),kleding (0.9501924),rig (kleding) (0.91067016),mannelijk (0.90468645),vrouw (0.893421),militaire tak (0.8797467),vijf (0.8753317),uniform (0.85217357),vier (0.8448007),drie (0.82418513),twee (0.8149252),soldaat (0.76951426),voertuig (0.76833177)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0005/full/full/0/default.jpg,General,vliegtuig (0.9957849),luchtvaartuig (0.99410087),vliegterrein (0.9855722),vervoer (0.98525274),voertuig (0.97537607),reizen (0.95823884),straalvliegtuig (0.94401443),militaire tak (0.9196031),vlucht (0.8940438),vliegen (0.8807639),airbus (0.8733424),asfalt (0.8642101),aankomst (0.86045086),startbaan (0.8563628),luchtmacht (0.844556),passagiersvliegtuig (0.8345231),opstijgen (0.79937565),snel (0.7709958),fly (0.76933646),competitie (0.7520873)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0050/full/full/0/default.jpg,General,volk (0.9969591),mannelijk (0.97721463),competitie (0.9727411),ambacht (0.9597878),volwassen (0.95377254),groep (abstractie) (0.9445951),recreatie (activiteit) (0.9441022),voertuig (0.93119216),vervoer (0.92265755),festival (periode) (0.90907335),veel (0.9004462),groep (0.89457005),schip (transportmiddel) (0.8935623),waterlichaam (0.8805605),gebeurtenis (psychologische functie) (0.8778214),touw (0.86973953),vrouw (0.85831475),industrie (0.8443743),interactie (0.84306633),gevaar (conditie) (0.8276253)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0197/full/full/0/default.jpg,General,store (netto inkomen) (0.9952053),boodschap (winkel) (0.9908565),volk (0.9890326),markt (economie) (0.98755705),commerce (transactie) (0.983307),kleinhandel (0.97137296),een (0.9326918),volwassen (0.9253002),verkoop (gelegenheid) (0.92407584),binnenshuis (0.9212617),portret (0.9119395),shelf (opslag) (0.90779084),handelaar (0.8857138),verkopen (0.88446033),presentatie (0.87762725),koopje (inkoop) (0.8576817),vrouw (0.85453695),koopwaar (0.85322446),straat (verharde weg) (0.850484),veel (0.8398073)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0201/full/full/0/default.jpg,General,voertuig (0.99839216),vervoer (0.99491024),auto (0.99484265),autobus (0.9938773),weg (0.9825747),reizen (0.9768693),verkeer (0.9702969),straat (verharde weg) (0.96704507),geen persoon (0.9462247),buitenshuis (0.938801),vrachtauto (0.93724275),politie (0.9153342),volk (0.89964783),bijeenkomst (0.8989079),daglicht (0.87294066),motor (0.85623187),actie (0.84225094),snel (0.83054507),ongeval (incident) (0.80026805),asfalt (0.7981559)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0234/full/full/0/default.jpg,General,vliegterrein (0.996752),luchtvaartuig (0.9941231),vliegtuig (0.99272025),vervoer (0.9916814),voertuig (0.99115753),volk (0.9898653),militaire tak (0.9682857),reizen (0.95437527),volwassen (0.92555726),vertrek (act) (0.9174911),vrouw (0.91534996),aankomst (0.91112965),groep (abstractie) (0.88997984),luchtmacht (0.88318205),weg (0.8810445),mannelijk (0.8646703),bagage (0.8620864),vliegen (0.8448297),groep (0.830038),oorlog (0.8178322)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0002-0147/full/full/0/default.jpg,General,volk (0.9949727),markt (economie) (0.9843528),commerce (transactie) (0.9820648),boodschap (winkel) (0.9800917),groep (abstractie) (0.97671556),straat (verharde weg) (0.9727943),store (netto inkomen) (0.9672407),stad (0.9609879),veel (0.91824305),mannelijk (0.9160396),toerist (0.9091773),volwassen (0.9077514),vrouw (0.9040166),kleding (0.88330734),kraam (kast) (0.864719),kleinhandel (0.86375254),voertuig (0.85603297),daglicht (0.8516698),menigte (0.8253448),reizen (0.82192016)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0003-0020/full/full/0/default.jpg,General,architectuur (0.99167836),gebouw (0.98463523),geen persoon (0.97684777),appartement (0.9765457),balkon (bouw) (0.97400796),modern (0.97327787),huis (0.9689914),hotel (0.96858644),raam (0.9557264),buitenshuis (0.95097935),hemelgewelf (0.94505686),stad (0.9430431),behuizing (0.9338535),luxe (rijkdom) (0.9293933),daglicht (0.92501295),reizen (0.9199144),vermogen (economie) (0.9135216),structuur (0.9114767),bedrijfsleven (0.90597785),gezin (0.9039347)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0003-0052/full/full/0/default.jpg,General,gebouw (0.98266506),architectuur (0.98075765),modern (0.95892894),hemelgewelf (0.9579241),geen persoon (0.955137),stad (0.94774413),buitenshuis (0.94379294),daglicht (0.94060814),huis (0.9318422),reizen (0.92742515),behuizing (0.9045242),structuur (0.89677536),boom (plant) (0.89577585),stedelijk gebied (0.89143866),uitdrukking (0.87686956),toerisme (0.8408543),hotel (0.82728994),beton (0.82315326),oriëntatiepunt (0.81671906),bedrijfsleven (0.8019496)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0006-0066/full/full/0/default.jpg,General,volk (0.9925567),groep (abstractie) (0.9840268),straat (verharde weg) (0.9817778),stad (0.9752381),veel (0.964054),weg (0.9507803),vrouw (0.9225218),mannelijk (0.9189677),volwassen (0.91476667),menigte (0.8869435),groep (0.8806828),bestrating (0.87448704),daglicht (0.86854374),toerist (0.8489764),stedelijk gebied (0.8276368),onderwijs (0.825279),kleding (0.82508624),reizen (0.82138026),religie (0.8044041),buitenshuis (0.79567516)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0006-0131/full/full/0/default.jpg,General,stad (0.97981447),gebouw (0.9672989),architectuur (0.9612516),reizen (0.9610685),straat (verharde weg) (0.95797324),volk (0.9433438),stedelijk gebied (0.93714535),buitenshuis (0.9232225),toerisme (0.92047775),weg (0.90792525),voertuig (0.8945297),toerist (0.87910837),town (0.87202233),groep (abstractie) (0.86222523),geen persoon (0.8604519),veel (0.8509152),daglicht (0.8482753),brug (bouwwerk) (0.81981295),vervoer (0.8186815),waterlichaam (0.8163726)
