beeld URL,modelnaam,tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10,tag 11, tag 12,    tag 13,tag 14,tag 15,tag 16,tag 17,tag 18,tag 19,tag 20
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2003-036-018/full/full/0/default.jpg,General,people (0.9959889),portrait (0.9862785),man (0.9817338),adult (0.97378755),lid (0.9734125),wear (0.95305717),two (0.9259222),outfit (0.9178992),one (0.9170733),leader (0.91613275),art (0.9072232),veil (0.89103687),actor (0.86871535),group (0.86317337),elderly (0.8370272),facial hair (0.83339703),street (0.825453),woman (0.82473063),cap (0.8172069),outerwear (0.7925932)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-029/full/full/0/default.jpg,General,groom (0.9985689),wedding (0.9982481),bride (0.99710244),people (0.986725),woman (0.978949),flower arrangement (0.97655505),wear (0.9417684),love (0.93387645),two (0.932628),veil (0.93030816),portrait (0.9135203),man (0.9090502),bouquet (0.88698715),Christmas (0.8586337),engagement (0.8501098),fashion (0.8464147),ceremony (0.84211653),dress (0.83413965),bridal (0.8229817),flower (0.81578183)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-001/full/full/0/default.jpg,General,people (0.99965334),group (0.9969964),adult (0.98705506),administration (0.9759577),woman (0.97353065),group together (0.97335976),man (0.95928305),child (0.95790064),leader (0.9576993),family (0.9420872),offspring (0.94014496),war (0.92974526),portrait (0.9248276),sibling (0.9208172),many (0.91835105),home (0.91742796),four (0.91666424),five (0.8991445),three (0.88806504),son (0.8849099)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-002/full/full/0/default.jpg,General,people (0.9996238),flower arrangement (0.9948349),wedding (0.99417263),groom (0.9887916),group (0.9863928),two (0.9793513),adult (0.9786984),veil (0.9660623),bride (0.9652103),woman (0.9616635),leader (0.95992553),wear (0.94642633),three (0.94488484),ceremony (0.9397754),dinner jacket (0.9384322),four (0.9375834),man (0.9282966),administration (0.9195736),monarch (0.9189022),portrait (0.9056095)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-003/full/full/0/default.jpg,General,people (0.9998337),group (0.9975957),adult (0.9938812),group together (0.9907357),woman (0.98426616),man (0.9714874),child (0.9679185),furniture (0.957772),many (0.9234073),several (0.9217025),boy (0.91806203),administration (0.9135178),five (0.89211214),military (0.88646287),seat (0.8831533),school (0.87912756),wear (0.870605),uniform (0.8651249),room (0.86413056),education (0.8552424)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-007/full/full/0/default.jpg,General,car (0.9999727),vehicle (0.9991848),convertible (0.9991497),people (0.99766266),transportation system (0.99352634),driver (0.9918424),wedding (0.98222476),man (0.9792909),two (0.9779871),woman (0.97729355),adult (0.9730175),portrait (0.971676),vehicle window (0.957482),bride (0.94713914),groom (0.94438195),limousine (0.9441489),one (0.9431327),windshield (0.92995405),hood (0.91936487),love (0.8911524)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-008/full/full/0/default.jpg,General,people (0.9995196),adult (0.9871524),group (0.9806809),man (0.96704906),group together (0.9653508),woman (0.9585333),wear (0.9561116),three (0.9314634),two (0.929798),administration (0.9216293),several (0.9052798),street (0.90162665),outerwear (0.90159273),music (0.8973803),four (0.89681023),movie (0.89623785),outfit (0.88465023),military (0.88174474),vehicle (0.8679602),actor (0.8582103)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0005/full/full/0/default.jpg,General,airplane (0.9983038),airport (0.9966504),transportation system (0.9947523),aircraft (0.9941499),vehicle (0.9914745),flight (0.9737464),jet (0.96931833),tarmac (0.9692926),military (0.9545757),travel (0.94282943),aviate (0.9370741),runway (0.934703),people (0.919962),air force (0.9118868),airbus (0.9019441),air (0.8998046),cockpit (0.8976069),asphalt (0.8717509),fast (0.86034703),airliner (0.8537957)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0050/full/full/0/default.jpg,General,people (0.9977481),group (0.9894103),man (0.98644465),watercraft (0.9799167),adult (0.9753017),group together (0.9665985),many (0.9645046),woman (0.9598279),vehicle (0.9498254),festival (0.9470409),recreation (0.9124271),ship (0.90484196),transportation system (0.9044798),competition (0.8701446),rope (0.8554047),travel (0.81007135),two (0.80496764),fun (0.7756022),child (0.76848185),industry (0.7666231)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0001-0197/full/full/0/default.jpg,General,market (0.9989034),stock (0.99781656),people (0.99729973),commerce (0.9938292),shopping (0.9914744),souvenir (0.9877243),merchant (0.97348547),booth (0.9701746),shelf (0.9611051),shop (0.9598628),group (0.95966035),sell (0.9511695),container (0.9348866),one (0.9300682),displayed (0.9300258),many (0.92830306),bazaar (0.9246899),street (0.9153709),merchandise (0.9092939),flea (0.9080854)
