base,filename,extension,type,theme,period,beeld URL,modelnaam,tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10,tag 11, tag 12,    tag 13,tag 14,tag 15,tag 16,tag 17,tag 18,tag 19,tag 20
,2003-036-018,tif,onbekend,huwelijk,onbekend,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2003-036-018/full/full/0/default.jpg,Wedding,portraits (0.86101997),traditions (0.65360075),black and white (0.57257193),vintage (0.5349895),black (0.53219616),halloween (0.52299917),love (0.4814674),white (0.47339183),groom (0.47230178),fashion (0.47037187),popcorn (0.44134933),groomsmen (0.4170125),bride (0.4090364),ties (0.38718045),photo booth (0.3841403),costume (0.37126613),robes (0.364659),4th of july (0.3309348),walls (0.29540208),ceremony (0.29388225)
,2012-029,tif,onbekend,huwelijk,onbekend,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-029/full/full/0/default.jpg,Wedding,bride (0.87766415),love (0.85636383),groom (0.7625133),flowers (0.7081337),bouquet (0.6488267),vintage (0.5626246),dress (0.55643857),reception (0.54838896),sparklers (0.47539312),white (0.45083904),ceremony (0.44722587),wedding party (0.42395604),christmas (0.3980731),bride and groom (0.3930545),wedding dresses (0.3616717),whimsical (0.35763487),vows (0.3456933),lace (0.32808405),just married (0.3276568),black and white (0.31439918)
,2012-030-001,tif,onbekend,huwelijk,onbekend,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-001/full/full/0/default.jpg,Wedding,traditions (0.8244281),bride (0.6885469),black and white (0.6814409),groom (0.5064894),reception (0.49795854),wedding party (0.4613791),thanksgiving (0.45923793),dining room (0.4261424),vintage (0.397505),christmas (0.37410685),4th of july (0.3383537),dress (0.3365273),table (0.31664038),buffet (0.31632534),wreath (0.3074842),toss (0.29775286),dining table (0.29590082),love (0.2696779),fireplace (0.2519679),bridesmaids (0.24521096)
,2012-030-002,tif,onbekend,huwelijk,onbekend,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-002/full/full/0/default.jpg,Wedding,dress (0.7400044),bride (0.71470857),vintage (0.69146776),black and white (0.6762598),christmas (0.6578864),wreath (0.6377693),flowers (0.58511156),white (0.5392747),groom (0.5292274),fireplace (0.52158666),love (0.49912265),bouquet (0.48870936),mirror (0.45860034),fashion (0.44727618),traditions (0.4239853),wedding dresses (0.41270334),costume (0.37908226),holiday (0.37072206),dog (0.31959325),lace (0.31706893)
,2012-030-003,tif,onbekend,huwelijk,onbekend,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-003/full/full/0/default.jpg,Wedding,black and white (0.76297915),table (0.73652923),chair (0.70212066),bar (0.65031964),traditions (0.56140244),vintage (0.49620324),new years eve (0.442077),dining room (0.410818),dancing (0.37395436),dining table (0.37092534),love (0.36809295),4th of july (0.36472952),fashion (0.36404034),girls (0.35766512),dress (0.35560846),bride (0.32284737),seating (0.3132567),getting ready (0.3121679),toss (0.29890004),reception (0.2956623)
,2012-030-007,tif,onbekend,huwelijk,onbekend,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-007/full/full/0/default.jpg,Wedding,bride (0.93465805),groom (0.85064745),transportation (0.8460321),love (0.7646653),vintage (0.6930144),mirror (0.65740126),black and white (0.6554279),just married (0.6238518),travel (0.621223),white (0.54758334),bouquet (0.5125593),dress (0.497124),military (0.39666426),fashion (0.37887913),summer (0.36787766),beauty (0.3670327),black (0.36140186),flowers (0.33040223),ceremony (0.3248567),romance (0.3213697)
,2012-030-008,tif,onbekend,huwelijk,onbekend,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/2012-030-008/full/full/0/default.jpg,Wedding,military (0.984079),black and white (0.87466013),ceremony (0.82270175),vintage (0.5729788),black (0.5007998),confetti (0.4908654),flag (0.45653707),dress (0.403043),traditions (0.3653862),4th of july (0.3408019),groomsmen (0.33968547),white (0.32855767),wreath (0.30379555),shoes (0.3005976),poppy (0.29245248),umbrellas (0.29228455),portraits (0.291305),fashion (0.29115623),love (0.24852991),costume (0.23112378)
,DIA-80-00358,tif,diapositief,huwelijk,80s,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-80-00358/full/full/0/default.jpg,Wedding,first dance (0.9131028),love (0.91276217),dancing (0.73327684),bride (0.7074742),kiss (0.68377984),vintage (0.62193644),romance (0.5973931),dress (0.58189225),groom (0.5527853),girls (0.52166003),vows (0.4877206),bride and groom (0.42840442),just married (0.4163978),reception (0.4022056),fashion (0.39885908),romantic (0.34234828),white (0.31916636),whimsical (0.28433675),getting ready (0.26711202),black (0.25809228)
,FO-00-00034,tif,foto,huwelijk,00s,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-00-00034/full/full/0/default.jpg,Wedding,black and white (0.7853236),military (0.65685755),dress (0.6284643),bouquet (0.59446305),dancing (0.58141935),bride (0.5616509),costume (0.52701277),dog (0.5116148),ceremony (0.4921723),wreath (0.4816591),holiday (0.4762015),groom (0.46021873),traditions (0.36116213),christmas (0.3536796),vintage (0.3134036),mirror (0.3000536),thanksgiving (0.27691722),wedding party (0.24487643),flag (0.24075082),black (0.20821232)
,FO-10-00074,tif,foto,huwelijk,10s,http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-10-00074/full/full/0/default.jpg,Wedding,dress (0.7348767),vintage (0.644952),fashion (0.6303982),black and white (0.6111181),military (0.60393804),bride (0.5897349),costume (0.5426939),getting ready (0.48019823),portraits (0.4630829),love (0.41516972),dancing (0.39659637),boots (0.3904614),shoes (0.37575448),ceremony (0.36603612),traditions (0.3633471),wedding dresses (0.34310007),vera wang (0.33791822),groom (0.33507186),4th of july (0.3254566),robes (0.32215396)
