beeld URL,modelnaam,tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10,tag 11, tag 12,    tag 13,tag 14,tag 15,tag 16,tag 17,tag 18,tag 19,tag 20
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/d72476c40ddf34b401a0a11f985e702e,General,people (0.9902297),child (0.97971225),furniture (0.97421396),family (0.9739474),room (0.9657867),indoors (0.9605212),one (0.94562584),reclining (0.9449407),adult (0.9380411),bed (0.9363763),woman (0.91847587),two (0.89062405),house (0.8725857),bedroom (0.8719445),girl (0.865029),seat (0.8589798),sofa (0.8569237),facial expression (0.84741133),son (0.8387839),wear (0.83238876)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/589e05dc062b9fb7e4ad94f6d622079a,General,people (0.9892947),one (0.9698998),adult (0.96486187),outdoors (0.9629744),mammal (0.9517144),woman (0.9276898),wear (0.9214473),facial expression (0.9147166),portrait (0.9124658),flower (0.9099618),child (0.90952635),two (0.90082544),summer (0.8954818),happiness (0.89358985),daylight (0.8828889),pet (0.875643),leisure (0.8740505),cat (0.85773253),nature (0.8530109),grass (0.84392035)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/02f56e0101bc398f4c465643559a19d4,General,people (0.99946594),adult (0.995426),one (0.9935931),furniture (0.9713552),woman (0.9706496),portrait (0.9563394),room (0.9399049),wear (0.9346368),monochrome (0.9321314),man (0.8917103),home (0.8855217),indoors (0.87986445),music (0.87227654),chair (0.8716556),administration (0.8659522),sit (0.85105574),leader (0.8468305),seat (0.844141),two (0.84294206),street (0.81315184)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/1b5ca588465c53b79ecbdbbaf449676d,General,people (0.99442816),child (0.9839849),portrait (0.97951686),adult (0.97106194),group (0.9699441),two (0.95688134),son (0.95458055),woman (0.9490657),facial expression (0.94808453),wear (0.9314813),family (0.919845),man (0.91587657),three (0.9148011),boy (0.8998138),offspring (0.89147),girl (0.88548684),sibling (0.8464284),music (0.80526125),one (0.79897195),jewelry (0.77949584)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/e26a0f039b96a4b3f67ad48392e1e5cc,General,train (0.99961126),railway (0.99915385),locomotive (0.9976685),transportation system (0.9940282),vehicle (0.9863832),subway system (0.97885555),travel (0.97420955),no person (0.9617913),public (0.949597),commuter (0.9457933),track (0.9224354),wagon (0.9218186),bus (0.9103787),people (0.9073714),station (0.902094),tram (0.89697015),business (0.89542496),tramway (0.89168274),road (0.8680862),cable car (0.8497827)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/56f49246cf41aa47cd7517871022362f,General,people (0.99446684),group (0.9753623),woman (0.9644247),wear (0.9556699),festival (0.95481),adult (0.95154107),religion (0.9457153),travel (0.9328454),child (0.9252646),outdoors (0.9240857),city (0.912467),man (0.90205765),drag race (0.89489466),many (0.8894369),street (0.8791862),daylight (0.8785137),ceremony (0.8716214),girl (0.86288637),election (0.8595273),battle (0.85170615)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/ecb93c42a4d67d572b9509aeb0475927,General,water (0.99055445),sea (0.9856763),beach (0.9853614),ocean (0.9808345),seashore (0.976383),travel (0.95444435),recreation (0.951522),leisure (0.94449186),people (0.9313677),water sports (0.9308953),watercraft (0.9271106),summer (0.91788244),vehicle (0.8972756),sailboat (0.8887236),sand (0.880051),sun (0.87879705),vacation (0.85893404),outdoors (0.8492421),woman (0.84181356),one (0.83488834)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/0a8aabd2f4170ad9de67820d92679648,General,car (0.99523234),vehicle (0.9942628),road (0.98819923),transportation system (0.9878374),travel (0.9740068),street (0.9699947),daylight (0.95478773),city (0.9433259),no person (0.9360594),traffic (0.9159453),outdoors (0.9156224),landscape (0.9141573),tree (0.9127704),people (0.9033233),environment (0.887826),building (0.8832307),urban (0.8822433),competition (0.8695271),police (0.8599139),bus (0.84510076)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/0f66a700f9abebef0056e747e90aa927,General,vehicle (0.977193),tent (0.9759312),outdoors (0.9663291),no person (0.9584615),landscape (0.95080096),camper (0.95051265),travel (0.94980603),road (0.9490371),wood (0.9364649),environment (0.9361773),campsite (0.93146366),daylight (0.91827357),summer (0.90957767),camp (0.90324366),accident (0.8983618),tree (0.894248),car (0.8918114),nature (0.8905972),park (0.89034736),drag race (0.88648915)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/8c5012ea4205efbfc252fcbd3012ef80,General,people (0.9903039),group (0.956313),city (0.9545504),street (0.9539526),woman (0.9335897),man (0.92290914),parade (0.9173839),adult (0.915624),festival (0.9141665),travel (0.9060405),many (0.89579415),road (0.89334226),competition (0.88704705),tourist (0.8747963),religion (0.86192405),wear (0.8598647),group together (0.8582996),urban (0.837576),outdoors (0.8368648),tourism (0.83077824)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/323632085565f446b51e4b64226510f6,General,people (0.9993558),group (0.985031),group together (0.97708523),adult (0.9735865),administration (0.9616328),leader (0.95461524),several (0.94435537),man (0.9441085),three (0.93806756),wear (0.9376469),two (0.93539876),four (0.9121739),woman (0.8892081),many (0.88673663),five (0.8803041),outfit (0.86834615),music (0.8370458),actor (0.8272578),movie (0.8099258),chair (0.80656064)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/7e45473290231198ceccd0b2dbf6d3d8,General,people (0.9991932),adult (0.992714),group together (0.9901211),group (0.9854791),vehicle (0.98263),man (0.96734214),many (0.9662144),woman (0.9611387),transportation system (0.9431844),wear (0.9368335),several (0.93483114),military (0.93108106),two (0.9195082),four (0.91392803),war (0.89518785),soldier (0.89053226),three (0.88875186),administration (0.8765452),five (0.86499834),watercraft (0.85625803)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/95fd95f7e61a6a5afdbbd11d4fa6103f,General,people (0.9991734),two (0.9877164),adult (0.9841217),sit (0.97720844),woman (0.97405845),group (0.959262),three (0.94791967),man (0.9427753),wear (0.9396743),administration (0.93496823),group together (0.9216474),one (0.91165507),furniture (0.91027415),child (0.9075014),vehicle (0.89404154),portrait (0.8913046),leader (0.8896252),facial expression (0.8857545),four (0.88077873),monochrome (0.86386365)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/e1cd3a8ede5211ef57ed09e5fdc78325,General,recreation (0.9871445),leisure (0.9772989),one (0.97460616),people (0.96829593),outdoors (0.96225333),adult (0.9529383),man (0.9468175),girl (0.9404589),snow (0.93861604),landscape (0.9266875),woman (0.89162457),fun (0.8864064),tree (0.883173),nature (0.8806528),adventure (0.8773711),boy (0.87570083),enjoyment (0.8755839),grass (0.8561237),lifestyle (0.8531512),daylight (0.852719)
https://s3.amazonaws.com/clarifai-api/img3/prod/orig/c16d1cd724294c64b7d354b105b3af10/6bf6b02c79dc6107b03b4e0b5570c6e9,General,people (0.98521066),girl (0.9834171),adult (0.98268926),woman (0.9666558),tree (0.9618188),nature (0.95555186),outdoors (0.9508834),leisure (0.94902575),happiness (0.94839),landscape (0.9417653),one (0.93894935),portrait (0.93767285),lifestyle (0.9166141),travel (0.9107417),recreation (0.9025339),dress (0.8992811),enjoyment (0.89878005),wear (0.89376783),park (0.8865397),grass (0.88632107)
